,artist,title
159,GloRilla feat. Cardi B,Tomorrow 2
160,FKA Twigs feat. Shygirl,Papi Bones
161,Smino feat. J. Cole,90 Proof
162,Seventeen,Hot
163,Wizkid,Bad to Me
164,Alex G,Runner
165,Blackpink,“Pink Venom”
166,Ozzy Osbourne,No Escape From Now
167,Karol G and Becky G,Mamiii
168,Jelly Roll,“Son of a Sinner”
169,Oxlade,Ku Lo Sa — A Colors Show
170,Earl Sweatshirt,2010
171,Omar Apollo,Evergreen
172,Muna,Home By Now
173,Asake feat. Burna Boy,Sungba (Remix)
174,Midland,The Last Resort
175,Sam Smith and Kim Petras,Unholy
176,NewJeans,Hype Boy
177,Carly Rae Jepsen & Rufus Wainwright,The Loneliest Time
178,Villano Antillano,BZRP Music Sessions #51
179,Zach Bryan,Something in the Orange
180,Noah Cyrus,I Burned L.A. Down
181,Megan Thee Stallion,Plan B
182,Ashley McBryde,"Caylee Hammack, Brandy Clark, and Pillbox Patti, ‘Bonfire at Tina’s"
183,Doechii & SZA,Persuasive
184,Burna Boy,Last Last
185,Rina Sawayama,This Hell
186,Ice Spice,Munch (Feelin U)
187,Pusha T,Dreamin’ of the Past
188,Yahritza Y Su Esencia,Soy El Unico
189,Kendrick Lamar,N95
190,Drake feat. 21 Savage,Jimmy Cooks
191,Harry Styles,As It Was
192,Beyonce,Break My Soul
193,Pharrell feat. 21 Savage and Tyler,"The Creator, ‘Cash In Cash Out"
194,Quavo and Takeoff,Hotel Lobby
195,Rosalia,Despecha
196,Taylor Swift,Karma
197,Steve Lacy,Bad Habit
198,Beyonce,Cuff It
199,Bad Bunny,Titi Me Preguntó
200,The Kinks,Sunny Afternoon
201,Nina Simone,Black Is the Color of My True Love’s Hair
202,Dionne Warwick,Walk on By
203,Charles Mingus,Solo Dancer
204,Irma Thomas,Time Is on My Side
205,James Brown,Night Train (Live at the Apollo)
206,The Foundations,Build Me Up Buttercup
207,Johnny and June Carter Cash,Jackson
208,Alton Ellis,I’m Still in Love With You
209,The Cannonball Adderley Quintet,"Mercy, Mercy, Mercy"
210,Leonard Cohen,"So Long, Marianne"
211,The Sonics,Strychnine
212,Tyrannosaurus Rex,Debora
213,The Walker Brothers,The Sun Ain’t Gonna Shine Anymore
214,The Hollies,Bus Stop
215,The Temptations,Get Ready
216,James Brown,Mother Popcorn (You Got to Have a Mother for Me)
217,Bobby Darin,Beyond the Sea
218,Patsy Cline,She’s Got You
219,France Gall,Laisse Tomber les Filles
220,The Barbarians,Moulty
221,Bembeya Jazz National,Armée Guinéenne
222,Otis Redding,I’ve Been Loving You Too Long (To Stop Now)
223,The Tammys,Egyptian Shumba
224,MC5,Kick Out the Jams
225,Loretta Lynn,Don’t Come Home a Drinkin’ (With Lovin’ on Your Mind)
226,Darlene Love,Christmas (Baby Please Come Home)
227,Phil Ochs,I Ain’t Marching Anymore
228,Archie Bell & the Drells,Here I Go Again
229,Neil Diamond,Sweet Caroline
230,Françoise Hardy,Tous Les Garcons et Les Filles
231,Stevie Wonder,Uptight (Everything’s Alright)
232,Albert Ayler,Ghosts
233,Stone Poneys,Different Drum
234,The Flirtations,Nothing But a Heartache
235,The Monks,Monk Time
236,Frank Sinatra,It Was a Very Good Year
237,Cromagnon,Caledonia
238,The Who,I Can See For Miles
239,The Zombies,She’s Not There
240,Os Mutantes,A Minha Menina
241,Pink Floyd,Astronomy Domine
242,P.P. Arnold,The First Cut Is the Deepest
243,Aretha Franklin,"Do Right Woman, Do Right Man"
244,Loretta Lynn,Fist City
245,Creedence Clearwater Revival,Bad Moon Rising
246,The Kingsmen,Louie Louie
247,Lorraine Ellison,Stay With Me
248,The Association,Never My Love
249,David Axelrod,The Human Abstract
250,Bob Dylan,"It’s Alright, Ma (I’m Only Bleeding)"
251,Archie Bell & the Drells,Tighten Up
252,The Velvet Underground,Sister Ray
253,Nina Simone,Sinnerman
254,Terry Riley,In C
255,Tammy Wynette,Stand by Your Man
256,Bobbie Gentry,Ode to Billie Joe
257,Scott Walker,Big Louise
258,Procol Harum,A Whiter Shade of Pale
259,The Supremes,Baby Love
260,Donovan,Season of the Witch
261,The Impressions,People Get Ready
262,The Righteous Brothers,Unchained Melody
263,The Dixie Cups,Iko Iko
264,Jimi Hendrix,Voodoo Child (Slight Return)
265,The Kinks,Shangri-La
266,Brian Wilson,Surf’s Up (solo piano version)
267,The Monkees,I’m a Believer
268,Louis Armstrong,What a Wonderful World
269,The Byrds,I’ll Feel a Whole Lot Better
270,John Coltrane,My Favorite Things
271,Harry Nilsson,Everybody’s Talkin’
272,Buffalo Springfield,For What It’s Worth
273,George Jones,She Thinks I Still Care
274,Led Zeppelin,What Is and What Should Never Be
275,Miles Davis,Shhh/Peaceful
276,The Velvet Underground,Venus in Furs
277,The Supremes,I Hear a Symphony
278,Patsy Cline,I Fall to Pieces
279,Glen Campbell,Wichita Lineman
280,? and the Mysterians,96 Tears
281,Silver Apples,Oscillations
282,The Bobby Fuller Four,I Fought the Law
283,Ben E. King,Stand By Me
284,Jefferson Airplane,White Rabbit
285,The Kinks,Victoria
286,Nancy Sinatra,These Boots Are Made for Walkin’
287,The Easybeats,Friday on My Mind
288,Steve Reich,It’s Gonna Rain
289,Stevie Wonder,I Was Made to Love Her
290,The Four Tops,It’s the Same Old Song
291,The Byrds,Eight Miles High
292,Harry Nilsson,One
293,Bob Dylan,Visions of Johanna
294,Desmond Dekker & the Aces,007 (Shanty Town)
295,Simon & Garfunkel,America
296,King Crimson,21st Century Schizoid Man
297,Merle Haggard,Mama Tried
298,Sly & the Family Stone,Everyday People
299,Pink Floyd,See Emily Play
300,The Isley Brothers,It’s Your Thing
301,Jimi Hendrix,All Along the Watchtower
302,The Zombies,Care of Cell 44
303,The Maytals,Pressure Drop
304,The Shangri-Las,Give Him a Great Big Kiss
305,Sam Cooke,Cupid
306,Simon & Garfunkel,Mrs. Robinson
307,Can,Yoo Doo Right
308,Nick Drake,River Man
309,The Who,Substitute
310,The Angels,My Boyfriend’s Back
311,The Stooges,1969
312,The Kinks,You Really Got Me
313,The Miracles,The Tracks of My Tears
314,The Left Banke,Walk Away Renée
315,Roy Orbison,Crying
316,The Rolling Stones,You Can’t Always Get What You Want
317,Neil Young & Crazy Horse,Down by the River
318,Elvis Presley,Suspicious Minds
319,Sam & Dave,"Hold On, I’m Comin’"
320,Bob Dylan,Subterranean Homesick Blues
321,Gal Costa,Baby
322,Sly & the Family Stone,I Want to Take You Higher
323,The Velvet Underground,Heroin
324,BBC Radiophonic Workshop,Doctor Who (Original Theme)
325,Simon & Garfunkel,The Boxer
326,James Brown & the Famous Flames,Papa’s Got a Brand New Bag
327,Bob Dylan,"Don’t Think Twice, It’s All Right"
328,Van Morrison,Sweet Thing
329,Jimi Hendrix,Manic Depression
330,Patsy Cline,Crazy
331,Dick Dale & the Del-Tones,Misirlou
